sample_id,sdr_in,sdr_out,pesq_in,pesq_out,stoi_in,stoi_out
sample_01381,-19.152356812494492,5.267046085359723,1.0403659343719482,1.3531163930892944,0.5194027204299602,0.6833566036089893
sample_01670,-16.26405569292799,3.803389063302739,1.0289162397384644,1.2283475399017334,0.5157012253062623,0.6683771665648782
sample_03965,-18.342531481705436,3.605826908121874,1.04509437084198,1.148655891418457,0.5108936649004815,0.7004435872579744
sample_02479,-31.03810938846911,7.614433860549662,1.0387966632843018,1.341758131980896,0.5140777742582441,0.6630741604225344
sample_00475,-25.994502177781314,-2.265626841094866,1.0839622020721436,1.2037854194641113,0.6536673272459976,0.8154221761226119
sample_00414,-12.87368182556159,2.3412859553882264,1.0466408729553223,1.2080249786376953,0.5650705376238722,0.6964396980908487
sample_03754,-20.197844811590496,5.844028793303893,1.0412116050720215,1.114614486694336,0.5328853812777717,0.6698075314381134
sample_03279,-17.30086723921986,7.1840646737619265,1.0242626667022705,1.3337600231170654,0.6278996538818943,0.7693369331656015
sample_00791,-10.589008480139238,8.558076436050998,1.033492088317871,1.278559684753418,0.5968984661582275,0.7833196828204608
sample_01419,-23.52157257382514,7.813912371781663,1.0528388023376465,1.4171571731567383,0.5935246227992885,0.7809621784914048
sample_01597,-22.81555865563384,2.6411494399930158,1.0200023651123047,1.123185157775879,0.4911879254675817,0.7019039454104112
sample_03824,-29.608139638465097,2.7633682521188785,1.0269230604171753,1.0638561248779297,0.41637533583191494,0.5065862091375685
sample_03685,-24.241287790947666,2.8542884587816357,1.026533842086792,1.2352992296218872,0.6704180678968984,0.8302732671821371
sample_01996,-31.27663785381865,4.5825333976373726,1.0982685089111328,1.4684276580810547,0.4646289134942679,0.7179986959742748
sample_03900,-17.964199741381847,6.259790534062491,1.0139172077178955,1.285823106765747,0.6411696619476263,0.7886189110985817
sample_02222,-6.565924194620384,7.8724795780412835,1.0328266620635986,1.0668609142303467,0.42166815952201486,0.4618053624698724
sample_03438,-41.64079333319661,0.8202638487245104,1.0313999652862549,1.1033681631088257,0.6321859227951699,0.7766111132661581
sample_03783,-17.639055008897454,6.634461332133704,1.0447447299957275,1.3962666988372803,0.7044153263409826,0.8396593645922575
sample_01512,-16.41633860692719,4.059030366219856,1.0494838953018188,1.3509613275527954,0.5024830170619761,0.6895801656205407
sample_01265,-19.56587293342198,3.2487164826480184,1.0424182415008545,1.1573277711868286,0.598804270871171,0.7215779459881114
sample_01658,-21.46091246652583,2.125737531293505,1.0190701484680176,1.2387007474899292,0.5208628245725604,0.7394928392233235
sample_01921,-25.866726073688287,2.432845050584855,1.062921166419983,1.3266857862472534,0.6424700695220116,0.8051090208739767
sample_02725,-26.158832889071068,-4.4382652185929015,1.0246974229812622,1.054732084274292,0.47622924505634406,0.5614053015962711
sample_00696,-24.350027915026686,6.627120444182485,1.0301454067230225,1.178633689880371,0.6299770120841321,0.8218214148804937
sample_02097,-35.590471679575714,6.487243144884522,1.0442322492599487,1.4390257596969604,0.661288519945698,0.8206989474454435
sample_01993,-20.710582762654674,2.975054746870352,1.0660845041275024,1.1978375911712646,0.643763735576608,0.7705747628201216
sample_03373,-23.167708316241264,2.1097946119145714,1.0221973657608032,1.1707839965820312,0.5259117256580585,0.7446300693545101
sample_01096,-28.832757497450988,1.2548628067388798,1.126234531402588,1.090059518814087,0.375772959007572,0.376305604526652
sample_02279,-21.63317289229717,6.893755526803823,1.024631142616272,1.270087718963623,0.6827324764798844,0.8446380614918189
sample_01822,-38.265720900934205,3.5211379721410263,1.0295965671539307,1.1488165855407715,0.5482910628343319,0.7410266555833062
sample_00258,-28.94131992320368,6.8855952782322944,1.0264625549316406,1.2969950437545776,0.687017038375411,0.848319024498878
